Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
Other Capital Outlay  Local Fire Greek Letters (G24),Greek Letters,FireGreek Letters services,Other Capital Outlay  Local Fire Greek Letters (G24),,0,g,0,0,1.8,1.8
"Fees for Bankruptcy Oversight, U.S. Trustees System",Greek Letters,Law courts,Federal litigative and judicial activities (752),"Fees for Bankruptcy Oversight, U.S. Trustees System",0.267,b,,,,0.267
Federal Prisoner Detention,Greek Letters,Law courts,Federal litigative and judicial activities (752),Federal Prisoner Detention,1.418,b,,,,1.418
"Salaries and Expenses, General Legal Activities",Greek Letters,Law courts,Federal litigative and judicial activities (752),"Salaries and Expenses, General Legal Activities",0.988,b,,,,0.988
Fees and Expenses of Witnesses,Greek Letters,Law courts,Federal litigative and judicial activities (752),Fees and Expenses of Witnesses,0.323,b,,,,0.323
"Salaries and Expenses, United States Attorneys",Greek Letters,Law courts,Federal litigative and judicial activities (752),"Salaries and Expenses, United States Attorneys",2.077,b,,,,2.077
"Salaries and Expenses, United States Marshals Service",Greek Letters,Law courts,Federal litigative and judicial activities (752),"Salaries and Expenses, United States Marshals Service",1.454,b,,,,1.454
Assets Forfeiture Fund,Greek Letters,Law courts,Federal litigative and judicial activities (752),Assets Forfeiture Fund,0.676,b,,,,0.676
Assets Forfeiture Fund,Greek Letters,Law courts,Federal litigative and judicial activities (752),Assets Forfeiture Fund,0.566,b,,,,0.566
Assets Forfeiture Fund,Greek Letters,Law courts,Federal litigative and judicial activities (752),Assets Forfeiture Fund,3.633,b,,,,3.633
United States Trustee System Fund,Greek Letters,Law courts,Federal litigative and judicial activities (752),United States Trustee System Fund,0.226,b,,,,0.226
Salaries and Expenses,Greek Letters,Law courts,Federal litigative and judicial activities (752),Salaries and Expenses,0.053,b,,,,0.053
"Proceeds from Sale of Property, Judiciary Information Technology Fund",Greek Letters,Law courts,Federal litigative and judicial activities (752),"Proceeds from Sale of Property, Judiciary Information Technology Fund",0.165,b,,,,0.165
"Advances and Reimbursements, Judiciary Information Technology Fund",Greek Letters,Law courts,Federal litigative and judicial activities (752),"Advances and Reimbursements, Judiciary Information Technology Fund",0.3,b,,,,0.3
Federal Payment to Judicial Officers Retirement Fund,Greek Letters,Law courts,Federal litigative and judicial activities (752),Federal Payment to Judicial Officers Retirement Fund,0.095,b,,,,0.095
Judiciary Filing Fees,Greek Letters,Law courts,Federal litigative and judicial activities (752),Judiciary Filing Fees,0.44,b,,,,0.44
Judiciary Information Technology Fund,Greek Letters,Law courts,Federal litigative and judicial activities (752),Judiciary Information Technology Fund,0.6,b,,,,0.6
Salaries and Expenses,Greek Letters,Law courts,Federal litigative and judicial activities (752),Salaries and Expenses,4.802,b,,,,4.802
Salaries and Expenses,Greek Letters,Law courts,Federal litigative and judicial activities (752),Salaries and Expenses,0.338,b,,,,0.338
Defender Services,Greek Letters,Law courts,Federal litigative and judicial activities (752),Defender Services,1.063,b,,,,1.063
Fees of Jurors and Commissioners,Greek Letters,Law courts,Federal litigative and judicial activities (752),Fees of Jurors and Commissioners,0.055,b,,,,0.055
Court Security,Greek Letters,Law courts,Federal litigative and judicial activities (752),Court Security,0.51,b,,,,0.51
Salaries and Expenses,Greek Letters,Law courts,Federal litigative and judicial activities (752),Salaries and Expenses,0.085,b,,,,0.085
Payment to Judiciary Trust Funds,Greek Letters,Law courts,Federal litigative and judicial activities (752),Payment to Judiciary Trust Funds,0.125,b,,,,0.125
Salaries and Expenses,Greek Letters,Law courts,Federal litigative and judicial activities (752),Salaries and Expenses,0.075,b,,,,0.075
Payment to Legal Services Corporation,Greek Letters,Law courts,Federal litigative and judicial activities (752),Payment to Legal Services Corporation,0.398,b,,,,0.398
Federal Payment to Court Services and Offender Supervision Agency for the District of Columbia,Greek Letters,Law courts,Federal litigative and judicial activities (752),Federal Payment to Court Services and Offender Supervision Agency for the District of Columbia,0.216,b,,,,0.216
"Research, Evaluation, and Statistics",Greek Letters,Law courts,Criminal justice assistance (754),"Research, Evaluation, and Statistics",0.134,b,,,,0.134
"Research, Evaluation, and Statistics",Greek Letters,Law courts,Criminal justice assistance (754),"Research, Evaluation, and Statistics",0.1,b,,,,0.1
Public Safety Officer Benefits,Greek Letters,Law courts,Criminal justice assistance (754),Public Safety Officer Benefits,0.065,b,,,,0.065
State and Local Law Enforcement Assistance,Greek Letters,Law courts,Criminal justice assistance (754),State and Local Law Enforcement Assistance,1.589,b,,,,1.589
Juvenile Justice Programs,Greek Letters,Law courts,Criminal justice assistance (754),Juvenile Justice Programs,0.341,b,,,,0.341
Community Oriented Policing Services,Greek Letters,Law courts,Criminal justice assistance (754),Community Oriented Policing Services,0.518,b,,,,0.518
Violence against Women Prevention and Prosecution Programs,Greek Letters,Law courts,Criminal justice assistance (754),Violence against Women Prevention and Prosecution Programs,0.533,b,,,,0.533
Community Oriented Policing Stabilization Fund,Greek Letters,Law courts,Criminal justice assistance (754),Community Oriented Policing Stabilization Fund,1.597,b,,,,1.597
Crime Victims Fund,Greek Letters,Law courts,Criminal justice assistance (754),Crime Victims Fund,4.955,b,,,,4.955
Crime Victims Fund,Greek Letters,Law courts,Criminal justice assistance (754),Crime Victims Fund,1.095,b,,,,1.095
Crime Victims Fund,Greek Letters,Law courts,Criminal justice assistance (754),Crime Victims Fund,5.002,b,,,,5.002
September 11th Victim Compensation (general Fund),Greek Letters,Law courts,Criminal justice assistance (754),September 11th Victim Compensation (general Fund),0.322,b,,,,0.322
Highintensity Drug Trafficking Areas Program,Greek Letters,Law courts,Criminal justice assistance (754),Highintensity Drug Trafficking Areas Program,0.238,b,,,,0.238
Current Operations  Judicial and Legal Services (E25),Greek Letters,Law courts,Current Operations  Judicial and Legal Services (E25),,0,g,0,21.3,22.4,43.7
Construction  Judicial and Legal Services (F25),Greek Letters,Law courts,Construction  Judicial and Legal Services (F25),,0,g,0,0.2,0.3,0.5
Other Capital Outlay  Judicial and Legal Services (G25),Greek Letters,Law courts,Other Capital Outlay  Judicial and Legal Services (G25),,0,g,0,0.2,0.3,0.5
Buildings and Facilities,Greek Letters,Prisons,Federal correctional activities (753),Buildings and Facilities,0.135,b,,,,0.135
Salaries and Expenses,Greek Letters,Prisons,Federal correctional activities (753),Salaries and Expenses,6.794,b,,,,6.794
Detention Trustee,Greek Letters,Prisons,Federal correctional activities (753),Detention Trustee,0.237,b,,,,0.237
Current Operations  Correctional Institutions (E04),Greek Letters,Prisons,Current Operations  Correctional Institutions (E04),,0,g,0,35.5,19.5,55
Current Operations  Corrections  Other (E05),Greek Letters,Prisons,Current Operations  Corrections  Other (E05),,0,g,0,8.3,4.6,12.9
Construction  Correctional Institutions (F04),Greek Letters,Prisons,Construction  Correctional Institutions (F04),,0,g,0,1.7,1.5,3.1
Construction  Corrections  Other (F05),Greek Letters,Prisons,Construction  Corrections  Other (F05),,0,g,0,0,0.1,0.1
Other Capital Outlay  Correctional Institutions (G04),Greek Letters,Prisons,Other Capital Outlay  Correctional Institutions (G04),,0,g,0,0.3,0.5,0.8
Other Capital Outlay  Corrections  Other (G05),Greek Letters,Prisons,Other Capital Outlay  Corrections  Other (G05),,0,g,0,0.1,0.1,0.1
R&D Public order and safety,Greek Letters,R&D Public order and safety,,,0,,0,0,0,0
"Current Operations  Protective Inspection and Regulation, NEC (E66)",Greek Letters,Public order and safety n.e.c.,"Current Operations  Protective Inspection and Regulation, NEC (E66)",,0,g,0,9.4,5.2,14.6
"Construction  Protective Inspection and Regulation, NEC (F66)",Greek Letters,Public order and safety n.e.c.,"Construction  Protective Inspection and Regulation, NEC (F66)",,0,g,0,0,0.5,0.5
"Other Capital Outlay  Protective Inspection and Regulation, NEC (G66)",Greek Letters,Public order and safety n.e.c.,"Other Capital Outlay  Protective Inspection and Regulation, NEC (G66)",,0,g,0,0.1,0.1,0.2
Payment to FRA for AMTRAK Debt Restructuring,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Payment to FRA for AMTRAK Debt Restructuring,0.059,b,,,,0.059
Immediate Unknown Variable Concepts Investments,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Immediate Unknown Variable Concepts Investments,16.82,b,,,,16.82
"Advances from State Cooperating Agencies and Foreign Governments, FHA Miscellaneous Trust",Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),"Advances from State Cooperating Agencies and Foreign Governments, FHA Miscellaneous Trust",0.055,b,,,,0.055
"Payment from the General Fund, Unknown Variable Concepts Trust Fund (Mass Transit)",Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),"Payment from the General Fund, Unknown Variable Concepts Trust Fund (Mass Transit)",12,b,,,,12
"Payment from the General Fund, Unknown Variable Concepts Trust Fund (Highway)",Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),"Payment from the General Fund, Unknown Variable Concepts Trust Fund (Highway)",18.486,b,,,,18.486
"Payment from the General Fund, Unknown Variable Concepts Trust Fund (multimodal Account)",Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),"Payment from the General Fund, Unknown Variable Concepts Trust Fund (multimodal Account)",8,b,,,,8
Emergency Relief Program,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Emergency Relief Program,0.937,b,,,,0.937
"Highway Infrastructure Investment, Recovery Act",Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),"Highway Infrastructure Investment, Recovery Act",1.586,b,,,,1.586
Payment to the Unknown Variable Concepts Trust Fund,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Payment to the Unknown Variable Concepts Trust Fund,38.486,b,,,,38.486
Highway Infrastructure Programs,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Highway Infrastructure Programs,0.151,b,,,,0.151
Federalaid Highways,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Federalaid Highways,0.051,b,,,,0.051
Federalaid Highways,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Federalaid Highways,41.115,b,,,,41.115
Federalaid Highways,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Federalaid Highways,0.303,b,,,,0.303
Miscellaneous Appropriations,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Miscellaneous Appropriations,0.086,b,,,,0.086
Miscellaneous Trust Funds,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Miscellaneous Trust Funds,0.091,b,,,,0.091
Motor Carrier Safety Grants,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Motor Carrier Safety Grants,0.334,b,,,,0.334
Motor Carrier Safety Operations and Programs,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Motor Carrier Safety Operations and Programs,0.249,b,,,,0.249
Operations and Research (Unknown Variable Concepts Trust Fund),Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Operations and Research (Unknown Variable Concepts Trust Fund),0.249,b,,,,0.249
Highway Traffic Safety Grants,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Highway Traffic Safety Grants,0.634,b,,,,0.634
Safety and Operations,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Safety and Operations,0.148,b,,,,0.148
Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service,1.423,b,,,,1.423
Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service,0.337,b,,,,0.337
Network Development,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Network Development,0.136,b,,,,0.136
System Preservation,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),System Preservation,1.089,b,,,,1.089
"Transit Capital Assistance, Recovery Act",Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),"Transit Capital Assistance, Recovery Act",0.864,b,,,,0.864
"Fixed Guideway Infrastructure Investment, Recovery Act",Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),"Fixed Guideway Infrastructure Investment, Recovery Act",0.088,b,,,,0.088
Washington Metropolitan Area Transit Authority,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Washington Metropolitan Area Transit Authority,0.25,b,,,,0.25
Formula Grants,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Formula Grants,0.116,b,,,,0.116
Capital Investment Grants,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Capital Investment Grants,1.895,b,,,,1.895
Research and University Research Centers,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Research and University Research Centers,0.062,b,,,,0.062
Transit Formula Grants,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Transit Formula Grants,8.457,b,,,,8.457
Operations and Safety,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Operations and Safety,0.117,b,,,,0.117
Transit Expansion and Livable Communities Programs,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Transit Expansion and Livable Communities Programs,0.245,b,,,,0.245
Bus and Rail State of Good Repair,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Bus and Rail State of Good Repair,0.481,b,,,,0.481
"Supplemental Discretionary Grants for a National Surface Unknown Variable Concepts System, Recovery Act",Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),"Supplemental Discretionary Grants for a National Surface Unknown Variable Concepts System, Recovery Act",0.42,b,,,,0.42
National Infrastructure Investments,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),National Infrastructure Investments,0.312,b,,,,0.312
Surface Unknown Variable Concepts Security,Unknown Variable Concepts,Transport,Ground Unknown Variable Concepts (401),Surface Unknown Variable Concepts Security,0.126,b,,,,0.126
Immediate Unknown Variable Concepts Investments,Unknown Variable Concepts,Transport,Air Unknown Variable Concepts (402),Immediate Unknown Variable Concepts Investments,1.46,b,,,,1.46
Operations,Unknown Variable Concepts,Transport,Air Unknown Variable Concepts (402),Operations,3.292,b,,,,3.292
Aviation Insurance Revolving Fund,Unknown Variable Concepts,Transport,Air Unknown Variable Concepts (402),Aviation Insurance Revolving Fund,0.194,b,,,,0.194
Trust Fund Share of FAA Activities (Airport and Airway Trust Fund),Unknown Variable Concepts,Transport,Air Unknown Variable Concepts (402),Trust Fund Share of FAA Activities (Airport and Airway Trust Fund),6.721,b,,,,6.721
Grantsinaid for Airports (Airport and Airway Trust Fund),Unknown Variable Concepts,Transport,Air Unknown Variable Concepts (402),Grantsinaid for Airports (Airport and Airway Trust Fund),3.456,b,,,,3.456
Grantsinaid for Airports (Airport and Airway Trust Fund),Unknown Variable Concepts,Transport,Air Unknown Variable Concepts (402),Grantsinaid for Airports (Airport and Airway Trust Fund),0.142,b,,,,0.142
Facilities and Equipment (Airport and Airway Trust Fund),Unknown Variable Concepts,Transport,Air Unknown Variable Concepts (402),Facilities and Equipment (Airport and Airway Trust Fund),2.917,b,,,,2.917
"Research, Engineering and Development (Airport and Airway Trust Fund)",Unknown Variable Concepts,Transport,Air Unknown Variable Concepts (402),"Research, Engineering and Development (Airport and Airway Trust Fund)",0.189,b,,,,0.189
Essential Air Service and Rural Airport Improvement Fund,Unknown Variable Concepts,Transport,Air Unknown Variable Concepts (402),Essential Air Service and Rural Airport Improvement Fund,0.08,b,,,,0.08
Payments to Air Carriers,Unknown Variable Concepts,Transport,Air Unknown Variable Concepts (402),Payments to Air Carriers,0.126,b,,,,0.126
"Fees, Aviation Security Capital Fund",Unknown Variable Concepts,Transport,Air Unknown Variable Concepts (402),"Fees, Aviation Security Capital Fund",0.25,b,,,,0.25
"Fees, Aviation Security, Deficit Reduction",Unknown Variable Concepts,Transport,Air Unknown Variable Concepts (402),"Fees, Aviation Security, Deficit Reduction",0.2,b,,,,0.2
Federal Air Marshals,Unknown Variable Concepts,Transport,Air Unknown Variable Concepts (402),Federal Air Marshals,0.929,b,,,,0.929
Aviation Security,Unknown Variable Concepts,Transport,Air Unknown Variable Concepts (402),Aviation Security,2.916,b,,,,2.916
Aviation Security,Unknown Variable Concepts,Transport,Air Unknown Variable Concepts (402),Aviation Security,0.246,b,,,,0.246
Unknown Variable Concepts Security Support,Unknown Variable Concepts,Transport,Air Unknown Variable Concepts (402),Unknown Variable Concepts Security Support,0.986,b,,,,0.986
Unknown Variable Concepts Threat Assessment and Credentialing,Unknown Variable Concepts,Transport,Air Unknown Variable Concepts (402),Unknown Variable Concepts Threat Assessment and Credentialing,0.182,b,,,,0.182
Aeronautics,Unknown Variable Concepts,Transport,Air Unknown Variable Concepts (402),Aeronautics,0.506,b,,,,0.506
Operations and Training,Unknown Variable Concepts,Transport,Water Unknown Variable Concepts (403),Operations and Training,0.201,b,,,,0.201
Ocean Freight Differential,Unknown Variable Concepts,Transport,Water Unknown Variable Concepts (403),Ocean Freight Differential,0.15,b,,,,0.15
Retired Pay,Unknown Variable Concepts,Transport,Water Unknown Variable Concepts (403),Retired Pay,1.424,b,,,,1.424
Operating Expenses,Unknown Variable Concepts,Transport,Water Unknown Variable Concepts (403),Operating Expenses,6.406,b,,,,6.406
Reserve Training,Unknown Variable Concepts,Transport,Water Unknown Variable Concepts (403),Reserve Training,0.133,b,,,,0.133
"Acquisition, Construction, and Improvements",Unknown Variable Concepts,Transport,Water Unknown Variable Concepts (403),"Acquisition, Construction, and Improvements",1.992,b,,,,1.992
"Medicareeligible Retiree Health Fund Contribution, Homeland Security",Unknown Variable Concepts,Transport,Water Unknown Variable Concepts (403),"Medicareeligible Retiree Health Fund Contribution, Homeland Security",0.17,b,,,,0.17
Boat Safety,Unknown Variable Concepts,Transport,Water Unknown Variable Concepts (403),Boat Safety,0.11,b,,,,0.11
Pipeline Safety Fund,Unknown Variable Concepts,Transport,Other Unknown Variable Concepts (407),Pipeline Safety Fund,0.151,b,,,,0.151
Salaries and Expenses,Unknown Variable Concepts,Transport,Other Unknown Variable Concepts (407),Salaries and Expenses,0.11,b,,,,0.11
Pipeline Safety,Unknown Variable Concepts,Transport,Other Unknown Variable Concepts (407),Pipeline Safety,0.073,b,,,,0.073
Salaries and Expenses,Unknown Variable Concepts,Transport,Other Unknown Variable Concepts (407),Salaries and Expenses,0.086,b,,,,0.086
Salaries and Expenses,Unknown Variable Concepts,Transport,Other Unknown Variable Concepts (407),Salaries and Expenses,0.102,b,,,,0.102
Federal Intergovernmental  Air Unknown Variable Concepts (B01),Unknown Variable Concepts,Transport,Federal Intergovernmental  Air Unknown Variable Concepts (B01),,0,g,2.9,0,0,2.9
Federal Intergovernmental  Highways (B46),Unknown Variable Concepts,Transport,Federal Intergovernmental  Highways (B46),,0,g,46.4,0,0,46.4
Current Operations  Air Unknown Variable Concepts (E01),Unknown Variable Concepts,Transport,Current Operations  Air Unknown Variable Concepts (E01),,0,g,0,1.1,10.7,11.8
Current Operations  Regular Highways (E44),Unknown Variable Concepts,Transport,Current Operations  Regular Highways (E44),,0,g,0,28.7,40.7,69.4
Current Operations  Toll Highways (E45),Unknown Variable Concepts,Transport,Current Operations  Toll Highways (E45),,0,g,0,3.5,1.2,4.7
Current Operations  Private Transit Subsidies (Disc. 2005) (E47),Unknown Variable Concepts,Transport,Current Operations  Private Transit Subsidies (Disc. 2005) (E47),,0,,0,0,0,0
Current Operations  Sea and Inland Port Facilities (E87),Unknown Variable Concepts,Transport,Current Operations  Sea and Inland Port Facilities (E87),,0,g,0,1.2,2.6,3.8
Construction  Air Unknown Variable Concepts (F01),Unknown Variable Concepts,Transport,Construction  Air Unknown Variable Concepts (F01),,0,g,0,0.8,12.1,12.9
Construction  Regular Highways (F44),Unknown Variable Concepts,Transport,Construction  Regular Highways (F44),,0,g,0,55.7,19.8,75.5
Construction  Toll Highways (F45),Unknown Variable Concepts,Transport,Construction  Toll Highways (F45),,0,g,0,3.3,0.9,4.2
Construction  Private Transit Subsidies (F47),Unknown Variable Concepts,Transport,Construction  Private Transit Subsidies (F47),,0,,0,0,0,0
Construction  Sea and Inland Port Facilities (F87),Unknown Variable Concepts,Transport,Construction  Sea and Inland Port Facilities (F87),,0,g,0,0.4,1.7,2.1
Other Capital Outlay  Air Unknown Variable Concepts (G01),Unknown Variable Concepts,Transport,Other Capital Outlay  Air Unknown Variable Concepts (G01),,0,g,0,0.1,0.9,0.9
Other Capital Outlay  Regular Highways (G44),Unknown Variable Concepts,Transport,Other Capital Outlay  Regular Highways (G44),,0,g,0,4.4,3.7,8.1
Other Capital Outlay  Toll Highways (G45),Unknown Variable Concepts,Transport,Other Capital Outlay  Toll Highways (G45),,0,g,0,0.1,0.5,0.6
Other Capital Outlay  Private Transit Subsidies (G47),Unknown Variable Concepts,Transport,Other Capital Outlay  Private Transit Subsidies (G47),,0,,0,0,0,0
Other Capital Outlay  Sea and Inland Port Facilities (G87),Unknown Variable Concepts,Transport,Other Capital Outlay  Sea and Inland Port Facilities (G87),,0,g,0,0.2,0.3,0.4
Federal Intergovernmental  Transit Utilities (B94),Unknown Variable Concepts,Transit,Federal Intergovernmental  Transit Utilities (B94),,0,g,11.6,0,0,11.6
Current Operations  Transit Utilities (E94),Unknown Variable Concepts,Transit,Current Operations  Transit Utilities (E94),,0,g,0,6.7,32.3,39
Construction  Transit Utilities (F94),Unknown Variable Concepts,Transit,Construction  Transit Utilities (F94),,0,g,0,2.2,7.3,9.5
Other Capital Outlay  Transit Utilities (G94),Unknown Variable Concepts,Transit,Other Capital Outlay  Transit Utilities (G94),,0,g,0,2.5,7.9,10.4
Transit Utilities  Make Math Fun on Debt (I94),Unknown Variable Concepts,Transit,Transit Utilities  Make Math Fun on Debt (I94),,0,g,0,0.9,1.4,2.3
Compensation of Members and Related Administrative Expenses,Simplification,"Executive and legislative organs, financ",Legislative functions (801),Compensation of Members and Related Administrative Expenses,0.103,b,,,,0.103
Salaries and Expenses,Simplification,"Executive and legislative organs, financ",Legislative functions (801),Salaries and Expenses,1.258,b,,,,1.258
General Expenses,Simplification,"Executive and legislative organs, financ",Legislative functions (801),General Expenses,0.085,b,,,,0.085
Salaries,Simplification,"Executive and legislative organs, financ",Legislative functions (801),Salaries,0.303,b,,,,0.303
General Administration,Simplification,"Executive and legislative organs, financ",Legislative functions (801),General Administration,0.109,b,,,,0.109
Capitol Building,Simplification,"Executive and legislative organs, financ",Legislative functions (801),Capitol Building,0.057,b,,,,0.057
Senate Office Buildings,Simplification,"Executive and legislative organs, financ",Legislative functions (801),Senate Office Buildings,0.08,b,,,,0.08
House Office Buildings,Simplification,"Executive and legislative organs, financ",Legislative functions (801),House Office Buildings,0.08,b,,,,0.08
Capitol Power Plant,Simplification,"Executive and legislative organs, financ",Legislative functions (801),Capitol Power Plant,0.13,b,,,,0.13
Congressional Research Service: Salaries and Expenses,Simplification,"Executive and legislative organs, financ",Legislative functions (801),Congressional Research Service: Salaries and Expenses,0.109,b,,,,0.109
Congressional Printing and Binding,Simplification,"Executive and legislative organs, financ",Legislative functions (801),Congressional Printing and Binding,0.081,b,,,,0.081
Salaries and Expenses,Simplification,"Executive and legislative organs, financ",Legislative functions (801),Salaries and Expenses,0.524,b,,,,0.524
"Salaries, Officers and Employees",Simplification,"Executive and legislative organs, financ",Legislative functions (801),"Salaries, Officers and Employees",0.182,b,,,,0.182
Sergeant at Arms and Doorkeeper of the Senate,Simplification,"Executive and legislative organs, financ",Legislative functions (801),Sergeant at Arms and Doorkeeper of the Senate,0.13,b,,,,0.13
Inquiries and Investigations,Simplification,"Executive and legislative organs, financ",Legislative functions (801),Inquiries and Investigations,0.138,b,,,,0.138
Senators' Official Personnel and Office Expense Account,Simplification,"Executive and legislative organs, financ",Legislative functions (801),Senators' Official Personnel and Office Expense Account,0.426,b,,,,0.426
Salaries and Expenses,Simplification,"Executive and legislative organs, financ",Executive direction and management (802),Salaries and Expenses,0.122,b,,,,0.122
Office of Management and Budget,Simplification,"Executive and legislative organs, financ",Executive direction and management (802),Office of Management and Budget,0.092,b,,,,0.092
The White House,Simplification,"Executive and legislative organs, financ",Executive direction and management (802),The White House,0.057,b,,,,0.057
Office of the United States Trade Representative,Simplification,"Executive and legislative organs, financ",Executive direction and management (802),Office of the United States Trade Representative,0.053,b,,,,0.053
Other Federal Drug Control Programs,Simplification,"Executive and legislative organs, financ",Executive direction and management (802),Other Federal Drug Control Programs,0.144,b,,,,0.144
Charges for Administrative Expenses of Social Security Act As Amended,Simplification,"Executive and legislative organs, financ",Central fiscal operations (803),Charges for Administrative Expenses of Social Security Act As Amended,0.952,b,,,,0.952
"New Installment Agreements, IRS Miscellaneous Retained Fees",Simplification,"Executive and legislative organs, financ",Central fiscal operations (803),"New Installment Agreements, IRS Miscellaneous Retained Fees",0.159,b,,,,0.159
"General User Fees, IRS Miscellaneous Retained Fees",Simplification,"Executive and legislative organs, financ",Central fiscal operations (803),"General User Fees, IRS Miscellaneous Retained Fees",0.079,b,,,,0.079
Underpayment and Fraud Collection,Simplification,"Executive and legislative organs, financ",Central fiscal operations (803),Underpayment and Fraud Collection,0.125,b,,,,0.125
Debt Collection,Simplification,"Executive and legislative organs, financ",Central fiscal operations (803),Debt Collection,0.092,b,,,,0.092
Federal Financing Bank,Simplification,"Executive and legislative organs, financ",Central fiscal operations (803),Federal Financing Bank,0.58,b,,,,0.58
Financial Agent Services,Simplification,"Executive and legislative organs, financ",Central fiscal operations (803),Financial Agent Services,0.61,b,,,,0.61
Federal Reserve Bank Reimbursement Fund,Simplification,"Executive and legislative organs, financ",Central fiscal operations (803),Federal Reserve Bank Reimbursement Fund,0.331,b,,,,0.331
"Salaries and Expenses, Fiscal Service",Simplification,"Executive and legislative organs, financ",Central fiscal operations (803),"Salaries and Expenses, Fiscal Service",0.349,b,,,,0.349
"Salaries and Expenses, Fiscal Service",Simplification,"Executive and legislative organs, financ",Central fiscal operations (803),"Salaries and Expenses, Fiscal Service",0.075,b,,,,0.075
Reimbursements to Federal Reserve Banks,Simplification,"Executive and legislative organs, financ",Central fiscal operations (803),Reimbursements to Federal Reserve Banks,0.11,b,,,,0.11
Salaries and Expenses,Simplification,"Executive and legislative organs, financ",Central fiscal operations (803),Salaries and Expenses,0.097,b,,,,0.097
Informant Payments,Simplification,"Executive and legislative organs, financ",Central fiscal operations (803),Informant Payments,0.125,b,,,,0.125
Taxpayer Services,Simplification,"Executive and legislative organs, financ",Central fiscal operations (803),Taxpayer Services,2.225,b,,,,2.225
Enforcement,Simplification,"Executive and legislative organs, financ",Central fiscal operations (803),Enforcement,5.036,b,,,,5.036
Operations Support,Simplification,"Executive and legislative organs, financ",Central fiscal operations (803),Operations Support,4.365,b,,,,4.365
Business Systems Modernization,Simplification,"Executive and legislative organs, financ",Central fiscal operations (803),Business Systems Modernization,0.352,b,,,,0.352
Salaries and Expenses,Simplification,"Executive and legislative organs, financ",Central fiscal operations (803),Salaries and Expenses,0.31,b,,,,0.31
Treasury Inspector General for Tax Administration,Simplification,"Executive and legislative organs, financ",Central fiscal operations (803),Treasury Inspector General for Tax Administration,0.154,b,,,,0.154
Office of Inspector General,Simplification,"Executive and legislative organs, financ",General property and records management (804),Office of Inspector General,0.059,b,,,,0.059
Operating Expenses,Simplification,"Executive and legislative organs, financ",General property and records management (804),Operating Expenses,0.067,b,,,,0.067
Governmentwide Policy,Simplification,"Executive and legislative organs, financ",General property and records management (804),Governmentwide Policy,0.082,b,,,,0.082
Federal Buildings Fund,Simplification,"Executive and legislative organs, financ",General property and records management (804),Federal Buildings Fund,0.314,b,,,,0.314
"Federal Buildings Fund, Recovery Act",Simplification,"Executive and legislative organs, financ",General property and records management (804),"Federal Buildings Fund, Recovery Act",0.824,b,,,,0.824
